A
Abbrecherquote,Abbruchquote
Abenteurer,Waghals; abenteuerliebende Person; abenteuerlustige Person; abenteuermutige Person; Abenteuermensch
Abgänger,absolvierende Person; Abschluss innehabende Person
Abgeordneter,abgeordnete Person für ...
Abiturient,Abitur ablegende Person; Person, die Abitur macht
Abkömmling,abstammende Person; nachkommende Person; Kind; Kindeskind; Person gleicher Abstammung
Abnehmer,Abnehmende
Abonnent,Bezugsperson; medienbeziehende Person; ein Abonnement beziehende Person
Abonnenten,Abonnement-Beziehende; Abonnierende; Followers; Follis
Absender (sg./pl.),abgesandt durch ...; absendende Person; von ...
Absolventen,Alumni ; Abschluss innehabende Person; Person mit Abschluss
Absolventenpraktikum,Praktikum (direkt) nach Studienabschluss
Abteilungsleiter,Abteilungsleitung
Absolventenvorsprechen [Schauspielschule],Abschlussvorsprechen; Alumnivorsprechen
Abteilungsleiter,Abteilungsleitungen; Abteilungsleitende
Abteilungsleitertreffen,Treffen der Abteilungsleitungen; Treffen der Leitungsebene
Administrator,Administration; Admin
Administratoren,Administration; Admins; Administrierende
Adressat,adressierte Person; an ...
adressatengerecht,zielgruppengerecht
Adressatenkreis,Zielgruppe
Agent [Spion],auskundschaftende Person; spionierende Person
Agent [Sport-/Kunst-/...-Agent],jemanden/etwas vermittelnde Person
Agentenfilm,Spionagefilm
Agententhriller,Spionagethriller
Ahnen,[dieser Begriff ist im Plural bereits genderneutral: sg. die Ahne (f.) oder der Ahne (m.) -> pl. die Ahnen (f.) und die Ahnen (m.)]
Akademiker,Studierte; Personen mit Hochschulabschluss
Akteure,Beteiligte; Agierende; Handelnde; Aktive
Akteursnetzwerk,Netzwerk von Engagierten; Netzwerk von Aktiven
Aktionär,Person mit Aktienbesitz
Aktionäre,Aktien-/Anteilshabende
Aktionärsversammlung,Versammlung von Personen mit Aktienbesitz; Versammlung von Anteilshabenden
Aktivist,engagierte Person; politisch aktiver Mensch
Aktivisten,engagierte Personen; politisch aktive Menschen; zielstrebig Handelnde
Alkoholiker,alkoholsüchtige Person; Person mit Alkoholsucht
Alkoholiker,Alkoholsüchtige; Menschen mit Alkoholsucht
Alleinerziehende,Ein-Eltern-Haushalt; Ein-Eltern-Familie; alleinerziehende Person
Alleinerziehende,[im Plural ist dieses Wort schon gendergerecht]
Allergiker,Menschen mit Allergie; Allergiegeplagte; allergieleidende Personen
Alleskönner,Multitalent; Universalgenie; vielseitig begabter Mensch
Allgemeinmediziner,Allgemeinmedizin praktizierende Person
Alltagshelden,Tag versüßende Personen; Ehrenamtliche; Zivilcourage leistende Personen
Alltagshelfer,Alltagshilfe
Alpinisten,bergsteigende Personen; bergbesteigende Personen; Bergsteigende; Bergkletternde
Älpler,Alpwirtschaft Betreibende
Altenpfleger,Pflegefachkraft; Pflegefachperson; Altenpflegeperson; Krankenpflegeperson; Fachkraft für Altenpflege
Altersgenossen,gleich Alte; Menschen derselben Altersgruppe; Gleichaltrige; Peer group
Altkanzler,ehemalige Regierungsoberhäupter
Alumni,Ehemalige
Amateur,Neuling; Person ohne Vorkenntnisse;
Amateure,Anfangende; Beginnende
Ampelmännchen,Ampelfiguren; Ampelfigürchen; Ampelmenschlein ()
Amtsinhaber,Amt innehabende Person; eine mit einem Amt betraute Person; amtierende Person im Bereich XY/ in Position XY; amtsverantwortliche Person für den Bereich XY
Analphabet,leseunfähige Person; leseunkundige Person; Person ohne Lesefähigkeit; des Lesens nicht mächtige Person; des Lesens unkundige Person; Person, die nicht lesen und schreiben kann
Analytiker,Analysierende
Anbieter,Angebot (von ...); Herstellung; angebotsstellende Person; angebotsmachende Person
Anbieter,Angebot (von ...); Herstellung; Anbietende
(der) andere,Gegenüber
... der ein oder andere,... die eine oder der andere
Anfänger,Unerfahrene; Menschen ohne Vorkenntnisse; Menschen ohne Vorerfahrung; Beginnende; Neulinge
... Das Angebot richtet sich an Anfänger und Fortgeschrittene.,... Das Angebot richtet sich an Personen mit und ohne Vorkenntnisse.
Anfängerkurs,Einstiegskurs; Grundkurs; Kurs für Menschen ohne Vorkenntnisse; Kurs für Menschen ohne Vorerfahrung
Anforderer,anfordernde Person/Abteilung
Anführer,Führungsfigur; anführende Person; Führung; Leitung; leitende Person; Oberhaupt
Angehöriger,Familienmitglied; Mitglied von ...
Angeklagter,angeklagte Person
Angesprochener,angesprochene Person; kontaktierte Person; lyrisches Du [Kontext Lyrikanalyse]
